"Ploidy_level","Ploidy_levelunknown","geneticSexID","geneticSexIDunknown","Cos.aspect","Elevation","delta_t","n_S","n_R","prefix_this","minsize","maxsize","n_iterations","n_S_lag_factor","n_S_scale_factor","SWE.mean","PPT.mean","size_mean_initial","size_sd_initial","n_A_initial","n_S_initial","n_R_initial","size_mean_final_average","n_A_final_average","n_S_final_average","n_R_final_average","longevity_90_final_average","basal_area_density_final_average","index"
"triploid","0","male","0",-1,2800,2.5,0,0,"param_sweep_4_7",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,49.391176542771,5.92168453813233e-19,0,0,67,1.12786241348939e-19,4
"triploid","0","male","0",-1,2800,2.5,0,0,"param_sweep_4_8",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,49.3666968041391,2.22393853078695e-19,0,0,26,4.24047537182068e-20,4
"triploid","0","male","0",-1,2800,2.5,0,0,"param_sweep_4_9",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,49.2557443939172,6.94199371775908e-17,0,0,46,1.3188662517905e-17,4
"triploid","0","male","0",-1,2800,2.5,0,0,"param_sweep_4_10",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,49.4841130645665,3.21572687051506e-20,0,0,38,6.1637620407282e-21,4
"diploid","0","female","0",1,2800,2.5,0,0,"param_sweep_5_1",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,49.5180903839166,1.35807417465316e-20,0,0,70,2.60560622622529e-21,5
"diploid","0","female","0",1,2800,2.5,0,0,"param_sweep_5_2",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,49.5448193666697,2.99208784020221e-22,0,0,63,5.7513569443001e-23,5
"diploid","0","female","0",1,2800,2.5,0,0,"param_sweep_5_3",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,49.3627337990074,4.24835945169461e-17,0,0,84,8.08737600934399e-18,5
"diploid","0","female","0",1,2800,2.5,4.23424617811388e-15,1.79836170989122e-16,"param_sweep_5_4",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,34.2321190166885,0.000225132382262163,0.000557867519128795,9.27311933967878e-06,49,5.21972200726827e-06,5
"diploid","0","female","0",1,2800,2.5,0.00168716602675074,0.000210317320020557,"param_sweep_5_5",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,16.6145807962326,0.0657883658588318,0.0279777285954892,0.00217012986470004,76,0.00199052243651002,5
"diploid","0","female","0",1,2800,2.5,0.0117128121970689,0.00124662043056765,"param_sweep_5_6",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,32.1000392320301,0.00956741257303635,0.0161728689366453,0.000513672436035681,59,0.000264062312292474,5
