"geneticSexID","Ploidy_level","n_medium_trees","Cos.aspect","population_density_m2","size_mean","size_sd","site_code","site_type","year","replicate","lambda","X.UTM","Y.UTM","Watershed","Elevation","Slope","Canopy_openness","Summer.Insolation","Soil.type"
"M","Triploid",0,-0.367124412808791,0.0801990139037013,36.2,6.99961767550515,"ACGNT01","random",2020,2,0.982805722482382,326972.4253226,4316448.5266888,"Middle East River",2990.49961964719,16.9998835555858,3,21.431827545166,"Talus"
"M","Triploid",0,-0.367124412808791,0.0801990139037013,36.2,6.99961767550515,"ACGNT01","random",2020,3,0.997743541740097,326972.4253226,4316448.5266888,"Middle East River",2990.49961964719,16.9998835555858,3,21.431827545166,"Talus"
"M","Triploid",0,-0.367124412808791,0.0801990139037013,36.2,6.99961767550515,"ACGNT01","random",2020,4,0.958639701957448,326972.4253226,4316448.5266888,"Middle East River",2990.49961964719,16.9998835555858,3,21.431827545166,"Talus"
"M","Triploid",0,-0.367124412808791,0.0801990139037013,36.2,6.99961767550515,"ACGNT01","random",2020,5,0.967584950403486,326972.4253226,4316448.5266888,"Middle East River",2990.49961964719,16.9998835555858,3,21.431827545166,"Talus"
"M","Triploid",0,-0.367124412808791,0.0801990139037013,36.2,6.99961767550515,"ACGNT01","random",2020,6,0.966313692626143,326972.4253226,4316448.5266888,"Middle East River",2990.49961964719,16.9998835555858,3,21.431827545166,"Talus"
"M","Triploid",0,-0.367124412808791,0.0801990139037013,36.2,6.99961767550515,"ACGNT01","random",2020,7,0.960943504545963,326972.4253226,4316448.5266888,"Middle East River",2990.49961964719,16.9998835555858,3,21.431827545166,"Talus"
"M","Triploid",0,-0.367124412808791,0.0801990139037013,36.2,6.99961767550515,"ACGNT01","random",2020,8,0.967603673787306,326972.4253226,4316448.5266888,"Middle East River",2990.49961964719,16.9998835555858,3,21.431827545166,"Talus"
"M","Triploid",0,-0.367124412808791,0.0801990139037013,36.2,6.99961767550515,"ACGNT01","random",2020,9,0.971188297020121,326972.4253226,4316448.5266888,"Middle East River",2990.49961964719,16.9998835555858,3,21.431827545166,"Talus"
"M","Triploid",0,-0.367124412808791,0.0801990139037013,36.2,6.99961767550515,"ACGNT01","random",2020,10,0.970564422037893,326972.4253226,4316448.5266888,"Middle East River",2990.49961964719,16.9998835555858,3,21.431827545166,"Talus"
"M",NA,19,-0.688123057548107,0.101501876971872,25.2,6.99961767550515,"AEBVG","random",2020,1,NA,320941.59758648,4302960.59327264,"Coal Creek",2998.31893139829,24.7801482368689,3,23.5482521057129,"Scree"
"M",NA,19,-0.688123057548107,0.101501876971872,25.2,6.99961767550515,"AEBVG","random",2020,2,NA,320941.59758648,4302960.59327264,"Coal Creek",2998.31893139829,24.7801482368689,3,23.5482521057129,"Scree"
"M",NA,19,-0.688123057548107,0.101501876971872,25.2,6.99961767550515,"AEBVG","random",2020,3,NA,320941.59758648,4302960.59327264,"Coal Creek",2998.31893139829,24.7801482368689,3,23.5482521057129,"Scree"
"M",NA,19,-0.688123057548107,0.101501876971872,25.2,6.99961767550515,"AEBVG","random",2020,4,NA,320941.59758648,4302960.59327264,"Coal Creek",2998.31893139829,24.7801482368689,3,23.5482521057129,"Scree"
"M",NA,19,-0.688123057548107,0.101501876971872,25.2,6.99961767550515,"AEBVG","random",2020,5,NA,320941.59758648,4302960.59327264,"Coal Creek",2998.31893139829,24.7801482368689,3,23.5482521057129,"Scree"
"M",NA,19,-0.688123057548107,0.101501876971872,25.2,6.99961767550515,"AEBVG","random",2020,6,NA,320941.59758648,4302960.59327264,"Coal Creek",2998.31893139829,24.7801482368689,3,23.5482521057129,"Scree"
"M",NA,19,-0.688123057548107,0.101501876971872,25.2,6.99961767550515,"AEBVG","random",2020,7,NA,320941.59758648,4302960.59327264,"Coal Creek",2998.31893139829,24.7801482368689,3,23.5482521057129,"Scree"
"M",NA,19,-0.688123057548107,0.101501876971872,25.2,6.99961767550515,"AEBVG","random",2020,8,NA,320941.59758648,4302960.59327264,"Coal Creek",2998.31893139829,24.7801482368689,3,23.5482521057129,"Scree"
"M",NA,19,-0.688123057548107,0.101501876971872,25.2,6.99961767550515,"AEBVG","random",2020,9,NA,320941.59758648,4302960.59327264,"Coal Creek",2998.31893139829,24.7801482368689,3,23.5482521057129,"Scree"
"M",NA,19,-0.688123057548107,0.101501876971872,25.2,6.99961767550515,"AEBVG","random",2020,10,NA,320941.59758648,4302960.59327264,"Coal Creek",2998.31893139829,24.7801482368689,3,23.5482521057129,"Scree"
"M","Triploid",1,-0.761077734120201,0.070908863039383,33.5,6.99961767550515,"AFOG","grid",2018,1,0.930705307476001,327101.927605476,4310091.46909306,"Washington Gulch-Slate River",3038.44912436466,14.8336594041539,3,22.4564609527588,"Soil"
"M","Triploid",1,-0.761077734120201,0.070908863039383,33.5,6.99961767550515,"AFOG","grid",2018,2,0.969116679645742,327101.927605476,4310091.46909306,"Washington Gulch-Slate River",3038.44912436466,14.8336594041539,3,22.4564609527588,"Soil"
