"","Ploidy_leveltriploid","Ploidy_levelunknown","geneticSexIDmale","geneticSexIDunknown","Cos.aspect","Elevation","prefix_this","minsize","maxsize","n_iterations","size_mean_initial","size_sd_initial","n_S_initial","n_A_initial","size_mean_final","n_A_final","n_S_final","longevity_90_final","n_S_lag_factor","n_S_scale_factor","SWE.mean","Tmax.mean","basal_area_density_final","n_A_final_gt_30_cm","cv_n_A_final_ten","index","pixel","replicate_climate_resample","replicate_data_resample","Ploidy_level","geneticSexID"
"52","0","0","0","0",-0.55124819278717,3037.6044921875,"map_3069_1_1",5,70,300,20,5,3.6386701559883,0.1,7.66408764199455,0.139460133345201,3.23644363136066,22,0.2,1,45.4674570395107,21.6493539926354,0.00073117838541053,0.000142729861653737,0.382665698949999,18,3069,1,"1","diploid","female"
"53","0","0","0","0",-0.55124819278717,3037.6044921875,"map_3069_1_2",5,70,300,20,5,3.9445426558843,0.1,8.9486221504534,0.176899979531311,3.15304868004658,26,0.2,1,45.4674570395107,21.6493539926354,0.00142105562487385,0.00104335221841451,0.376546696982368,18,3069,1,"2","diploid","female"
"54","0","0","0","0",-0.55124819278717,3037.6044921875,"map_3069_1_3",5,70,300,20,5,5.00370240789635,0.1,6.97672215860476,0.0511001710933352,3.0692161839676,31,0.2,1,45.4674570395107,21.6493539926354,0.000205865873897613,6.92154012402796e-07,0.630344718017004,18,3069,1,"3","diploid","female"
"55","0","0","0","0",-0.63727879524231,3102.81005859375,"map_3070_1_1",5,70,300,20,5,3.69744605866885,0.1,5.73887823868625,0.651438732733779,3.69147033772539,40,0.2,1,61.4852114674261,21.6499265267339,0.00201629866356695,0.000298921800749989,0.640814977042389,19,3070,1,"1","diploid","female"
"56","0","0","0","0",-0.63727879524231,3102.81005859375,"map_3070_1_2",5,70,300,20,5,4.34483287616784,0.1,6.31528174386665,1.10342585169026,1.83201478593028,17,0.2,1,61.4852114674261,21.6499265267339,0.00407129639949156,0.000159243177543046,0.443376176243056,19,3070,1,"2","diploid","female"
"57","0","0","0","0",-0.63727879524231,3102.81005859375,"map_3070_1_3",5,70,300,20,5,4.71839952022488,0.1,5.21177394225294,0.308484344320281,2.89829007017686,107,0.2,1,61.4852114674261,21.6499265267339,0.000686055631481436,5.7360678176872e-07,0.840530009134241,19,3070,1,"3","diploid","female"
"58","0","0","0","0",-0.450167804956436,3068.9248046875,"map_3074_1_1",5,70,300,20,5,4.73181428249531,0.1,7.20195191670976,0.28657410265745,4.51062906482399,25,0.2,1,60.0839004841358,21.0182865624412,0.00132472179866181,0.00014099590174882,0.592637857581603,20,3074,1,"1","diploid","female"
"59","0","0","0","0",-0.450167804956436,3068.9248046875,"map_3074_1_2",5,70,300,20,5,4.44458827458062,0.1,8.10645510264726,0.533793594563753,1.82677569114435,53,0.2,1,60.0839004841358,21.0182865624412,0.00325832962615131,0.00154801492967028,0.85248658325322,20,3074,1,"2","diploid","female"
"60","0","0","0","0",-0.450167804956436,3068.9248046875,"map_3074_1_3",5,70,300,20,5,5.68106409525591,0.1,6.40396436551371,0.108666443678055,3.36272717250624,35,0.2,1,60.0839004841358,21.0182865624412,0.000371100847484704,6.30752715150127e-07,0.790921361683982,20,3074,1,"3","diploid","female"
"61","0","0","0","0",-0.860665440559387,2974.61328125,"map_3172_1_1",5,70,300,20,5,2.64902935209918,0.1,7.816078918773,0.291185417784852,2.12872116857762,3,0.2,1,45.3382565398945,21.8562155181783,0.00162024407012262,0.000448463422848501,0.642996879542367,21,3172,1,"1","diploid","female"
"62","0","0","0","0",-0.860665440559387,2974.61328125,"map_3172_1_2",5,70,300,20,5,2.93855717435448,0.1,7.7681810373215,0.706348918972823,1.41006228200796,6,0.2,1,45.3382565398945,21.8562155181783,0.00443163800813864,0.00330866203079777,1.00366102975558,21,3172,1,"2","diploid","female"
