"site_code","name","value","year","metric"
"AFOG","PPT.2021",115.853000044823,2021,"PPT"
"AFOG","PPT.2022",85.2079998850822,2022,"PPT"
"AFOG","PPT.2023",25.6779993772507,2023,"PPT"
"AFOG","PPT.2024",91.144000262022,2024,"PPT"
"AFOG","PPT.2025",23.9489997029305,2025,"PPT"
"AFOG","PPT.2026",51.2239997684956,2026,"PPT"
"AGXLZ","SWE.2010",37.196720123291,2010,"SWE"
"AGXLZ","SWE.2011",184.967208862305,2011,"SWE"
"AGXLZ","SWE.2012",0.737704932689667,2012,"SWE"
"AGXLZ","SWE.2013",128.901641845703,2013,"SWE"
"AGXLZ","SWE.2014",274.688537597656,2014,"SWE"
"AGXLZ","SWE.2015",322.540985107422,2015,"SWE"
"AGXLZ","SWE.2016",154.29508972168,2016,"SWE"
"AGXLZ","SWE.2017",368.032775878906,2017,"SWE"
"AGXLZ","SWE.2018",48.2950820922852,2018,"SWE"
"AGXLZ","SWE.2019",565.672119140625,2019,"SWE"
"AGXLZ","SWE.2020",76.0327835083008,2020,"SWE"
"AGXLZ","SWE.2021",37.6393432617188,2021,"SWE"
"AGXLZ","SWE.2022",60.7213096618652,2022,"SWE"
"AGXLZ","SWE.2023",244.065567016602,2023,"SWE"
"AGXLZ","SWE.2024",226.016387939453,2024,"SWE"
"AGXLZ","SWE.2025",47.9836044311523,2025,"SWE"
"AGXLZ","SWE.2026",25.8032779693604,2026,"SWE"
"AGXLZ","PPT.2010",84.2976160943508,2010,"PPT"
"AGXLZ","PPT.2011",71.4561210274696,2011,"PPT"
"AGXLZ","PPT.2012",96.6047601699829,2012,"PPT"
"AGXLZ","PPT.2013",112.38797301054,2013,"PPT"
"AGXLZ","PPT.2014",71.599712073803,2014,"PPT"
"AGXLZ","PPT.2015",111.297005772591,2015,"PPT"
"AGXLZ","PPT.2016",95.1930052042007,2016,"PPT"
"AGXLZ","PPT.2017",98.2850040197372,2017,"PPT"
"AGXLZ","PPT.2018",43.6390019953251,2018,"PPT"
"AGXLZ","PPT.2019",59.9350039064884,2019,"PPT"
"AGXLZ","PPT.2020",43.8880019187927,2020,"PPT"
"AGXLZ","PPT.2021",115.498000353575,2021,"PPT"
"AGXLZ","PPT.2022",85.0190003812313,2022,"PPT"
"AGXLZ","PPT.2023",25.3650003969669,2023,"PPT"
"AGXLZ","PPT.2024",92.5259990096092,2024,"PPT"
"AGXLZ","PPT.2025",23.4910000860691,2025,"PPT"
"AGXLZ","PPT.2026",50.7370003163815,2026,"PPT"
"AHQT","SWE.2010",12.967212677002,2010,"SWE"
"AHQT","SWE.2011",138.032791137695,2011,"SWE"
"AHQT","SWE.2012",0.311475425958633,2012,"SWE"
"AHQT","SWE.2013",20.5081977844238,2013,"SWE"
"AHQT","SWE.2014",39.7213096618652,2014,"SWE"
