"","Ploidy_leveltriploid","Ploidy_levelunknown","geneticSexIDmale","geneticSexIDunknown","Cos.aspect","Elevation","delta_years","n_S","n_R","prefix_this","minsize","maxsize","n_iterations","n_S_lag_factor","n_S_scale_factor","SWE.mean","Tmax.mean","size_mean_initial","size_sd_initial","n_A_initial","n_S_initial","n_R_initial","size_mean_final_ten","n_A_final_ten","n_S_final_ten","n_R_final_ten","longevity_90_final_ten","basal_area_density_final_ten","index","pixel","replicate_climate_resample","replicate_data_resample","Ploidy_level","geneticSexID"
"33","0","0","0","0",-0.822242736816406,3114.07470703125,2.5,0.0602585492001791,0,"map_979_1_3",4,60,500,0.2,1,53.2232329103999,22.4517084944034,20,5,0.1,0.0860977005435503,0,17.0731166361125,0.045440882472703,0.056061414513455,0.00266336510223073,38.9090909090909,0.0015807735902935,4,979,1,"3","diploid","female"
"34","0","0","0","0",-0.822242736816406,3114.07470703125,2.5,8.03140223268892e-21,0,"map_979_1_4",4,60,500,0.2,1,53.2232329103999,22.4517084944034,20,5,0.1,0.153281214727627,0,50.8208459169516,2.71062057587953e-21,1.35021578346064e-20,0,11.2727272727273,5.49931551177998e-22,4,979,1,"4","diploid","female"
"35","0","0","0","0",-0.822242736816406,3114.07470703125,2.5,0.0391173363535141,0.00398999388186345,"map_979_1_5",4,60,500,0.2,1,53.2232329103999,22.4517084944034,20,5,0.1,0.066084374007494,0.00604909089442754,12.2130795559314,0.0352984743207081,0.0382256847854758,0.00351463497255874,20.7272727272727,0.000681017740664912,4,979,1,"5","diploid","female"
"36","0","0","0","0",-0.822242736816406,3114.07470703125,2.5,0.0685335083172561,0.0046496042184931,"map_979_1_6",4,60,500,0.2,1,53.2232329103999,22.4517084944034,20,5,0.1,0.116542714225773,0.00789407543003564,13.9585496201308,0.0374523113787456,0.067872926187817,0.00323436126154932,25.5454545454545,0.000888052801921566,4,979,1,"6","diploid","female"
"37","0","0","0","0",-0.822242736816406,3114.07470703125,2.5,0.0795906935742491,0.00648076404645495,"map_979_1_7",4,60,500,0.2,1,53.2232329103999,22.4517084944034,20,5,0.1,0.0984026095295371,0.00780531920810352,18.7250720256025,0.060798261647578,0.0793549354102371,0.00305187941291738,45.4545454545455,0.00253039546097544,4,979,1,"7","diploid","female"
"38","0","0","0","0",-0.822242736816406,3114.07470703125,2.5,1.53512944719474e-19,0,"map_979_1_8",4,60,500,0.2,1,53.2232329103999,22.4517084944034,20,5,0.1,0.123480819510464,0,50.8177617674035,6.09277543017345e-20,2.52822559567252e-19,0,37,1.23597916698554e-20,4,979,1,"8","diploid","female"
"39","0","0","0","0",-0.822242736816406,3114.07470703125,2.5,1.47243668269677e-19,0,"map_979_1_9",4,60,500,0.2,1,53.2232329103999,22.4517084944034,20,5,0.1,0.140167806636971,0,50.8529260411125,4.45192003254601e-20,2.42860100629546e-19,0,54.5454545454545,9.0434151034967e-21,4,979,1,"9","diploid","female"
"40","0","0","0","0",-0.822242736816406,3114.07470703125,2.5,0.011400132267192,0,"map_979_1_10",4,60,500,0.2,1,53.2232329103999,22.4517084944034,20,5,0.1,0.108328189258547,0,21.6562457920317,0.00513796719981181,0.0106244082745453,0.000349127651183245,31.9090909090909,0.000248604676564173,4,979,1,"10","diploid","female"
"41","0","0","0","0",-0.822242736816406,3114.07470703125,2.5,2.77342662738672e-18,0,"map_979_2_1",4,60,500,0.2,1,52.7974091649769,22.4808991370642,20,5,0.1,0.137970508871638,0,50.7141703219135,9.58087130947223e-19,4.62083772012718e-18,0,29.8181818181818,1.93564508512279e-19,5,979,2,"1","diploid","female"
"42","0","0","0","0",-0.822242736816406,3114.07470703125,2.5,3.36045019837335e-21,0,"map_979_2_2",4,60,500,0.2,1,52.7974091649769,22.4808991370642,20,5,0.1,0.152602232423782,0,50.9065220123257,1.14516809653349e-21,5.7803535061524e-21,0,20.4545454545455,2.33101340932903e-22,5,979,2,"2","diploid","female"
"43","0","0","0","0",-0.822242736816406,3114.07470703125,2.5,0.0530462236458196,0.00645434182886001,"map_979_2_3",4,60,500,0.2,1,52.7974091649769,22.4808991370642,20,5,0.1,0.0860977005435503,0,17.1720113360962,0.0463627311911513,0.0564969330525224,0.00327017649744355,38.3636363636364,0.00160936340304617,5,979,2,"3","diploid","female"
"44","0","0","0","0",-0.822242736816406,3114.07470703125,2.5,7.78605312262625e-21,0,"map_979_2_4",4,60,500,0.2,1,52.7974091649769,22.4808991370642,20,5,0.1,0.153281214727627,0,50.8299296346026,2.70861205921756e-21,1.32592855518408e-20,0,11.0909090909091,5.49681934094188e-22,5,979,2,"4","diploid","female"
"45","0","0","0","0",-0.822242736816406,3114.07470703125,2.5,0.0338946060519033,0.00195225080055108,"map_979_2_5",4,60,500,0.2,1,52.7974091649769,22.4808991370642,20,5,0.1,0.066084374007494,0.00604909089442754,12.5379648508067,0.0349579692064559,0.0364209327708333,0.00322355292015074,21.0909090909091,0.000711967267075746,5,979,2,"5","diploid","female"
