"replicate","geneticSexIDM","Ploidy_levelTriploid","n_medium_trees","Cos.aspect","Elevation","lambda"
2,"1","0",0,-1,3000,1.00000000957679
3,"1","0",0,-1,3000,0.968828889267369
4,"1","0",0,-1,3000,1.00015105303887
5,"1","0",0,-1,3000,0.99159696063553
6,"1","0",0,-1,3000,1.00985484085164
7,"1","0",0,-1,3000,1.00017871844634
8,"1","0",0,-1,3000,1
9,"1","0",0,-1,3000,0.975094525062692
10,"1","0",0,-1,3000,0.999999999999933
1,"0","1",0,-1,3000,0.85807791904026
2,"0","1",0,-1,3000,0.907720401871984
3,"0","1",0,-1,3000,0.883191368335522
4,"0","1",0,-1,3000,0.780106950513707
5,"0","1",0,-1,3000,0.853798261424151
6,"0","1",0,-1,3000,0.956090775931422
7,"0","1",0,-1,3000,0.835194521239787
8,"0","1",0,-1,3000,0.898715090475957
9,"0","1",0,-1,3000,0.96655645072983
10,"0","1",0,-1,3000,0.9780705503905
1,"1","1",0,-1,3000,0.967551679656843
2,"1","1",0,-1,3000,0.999739679486525
3,"1","1",0,-1,3000,0.933436146578551
4,"1","1",0,-1,3000,0.919776185692481
5,"1","1",0,-1,3000,0.927462116522159
6,"1","1",0,-1,3000,1.00010025506248
7,"1","1",0,-1,3000,0.931788080902012
8,"1","1",0,-1,3000,0.971143028223252
9,"1","1",0,-1,3000,NA
10,"1","1",0,-1,3000,1.00000000000001
1,"0","0",5,-1,3000,0.969076097756785
2,"0","0",5,-1,3000,0.98030178364202
3,"0","0",5,-1,3000,0.962432484493697
4,"0","0",5,-1,3000,0.964632620634501
5,"0","0",5,-1,3000,0.950400550542877
6,"0","0",5,-1,3000,0.992005988504089
7,"0","0",5,-1,3000,0.942469137852109
8,"0","0",5,-1,3000,0.968291992384606
9,"0","0",5,-1,3000,0.994723101336371
10,"0","0",5,-1,3000,0.999961349263474
1,"1","0",5,-1,3000,0.999999999940922
2,"1","0",5,-1,3000,0.99999529383611
3,"1","0",5,-1,3000,0.988908652273232
4,"1","0",5,-1,3000,1.00994393528282
5,"1","0",5,-1,3000,0.99979816907735
