"site_code","year","tag","date","field_team","unhealthy","cow","n_small_trees","n_medium_trees","n_small_dead","n_medium_dead","n_dead_down","n_standing_dead","site_notes","n_aspen_trees_surveyed","n_tree_species","plot_radius_m","plot_area_m2","n_adult_dead","n_adult_damaged","n_standing","n_fallen","n_standing_dead_full_survey","n_alive","dbh_center_live","dbh_mean_live","basal_area_density_live","plot_area_m2_derived","n_standing_in_previous_survey","n_still_standing_in_current_year","n","FRACTION_STANDING_AFTER_NUM_YEARS","pfailure","expected_fallen_dead","n_adult_dead_w_background_mortality_estimate","n_adult_dead_or_damaged","n_adult_dead_per_m2","n_adult_damaged_per_m2","n_adult_dead_or_damaged_per_m2","n_standing_dead_per_m2","n_adult_dead_w_background_mortality_estimate_per_m2","frac_adult_dead","frac_adult_damaged","frac_adult_dead_or_damaged","frac_standing_dead","frac_adult_dead_w_background_mortality_estimate","frac_adult_dead_per_m2","frac_adult_damaged_per_m2","frac_adult_dead_or_damaged_per_m2","frac_standing_dead_per_m2","frac_adult_dead_w_background_mortality_estimate_per_m2"
"ATDH",2023,251,2023-07-12,"EC AB MW",0,0,2,0,0,0,7,1,NA,1,1,NA,NA,1,NA,1,0,0,1,24.7,NA,NA,109.358840271461,11,11,5,NA,NA,0.712523921671231,1.71252392167123,NA,0.00914420816385495,NA,NA,0.00914420816385495,0.015659675225343,0.0909090909090909,NA,NA,0.0909090909090909,0.155683992879203,0.00083129165125954,NA,NA,0.00083129165125954,0.00142360683866754
"ATQY",2018,97,2018-06-28,NA,NA,NA,1,0,NA,NA,NA,0,NA,11,1,4.8,72.3822947387088,0,1,10,0,0,11,41.9,17.8818181818182,0.0206328559027778,72.3822947387088,NA,NA,NA,NA,NA,NA,0,1,0,0.0138155332545048,0.0138155332545048,0,0,0,0.0909090909090909,0.0909090909090909,0,0,0,0.00125595756859135,0.00125595756859135,0,0
"ATQY",2023,97,2023-07-11,"AL VM",0,0,4,1,0,0,6,0,NA,1,1,NA,NA,0,NA,1,0,0,1,42,NA,NA,72.3822947387088,10,10,5,NA,NA,0.647749019701119,0.647749019701119,NA,0,NA,NA,0,0.0089489981222537,0,NA,NA,0,0.0588862745182836,0,NA,NA,0,0.000813545283841245
"AWUSD",2018,479,2018-07-27,NA,0,0,5,5,NA,NA,NA,0,NA,10,1,5.3,88.2473376393373,0,0,10,0,0,10,11.2,12.99,0.00890968316126735,88.2473376393373,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AWUSD",2020,479,2020-08-18,"Courtenay and Erin",0,0,17,8,6,0,5,0,"All bearings/distances shot from base of focal tree. In 2018, seems like they were shot from 130",10,1,4.6,66.47610054996,0,3,10,0,0,10,12.4,13.31,0.0120132797731569,66.47610054996,10,10,2,1,0,0.264316176685138,0,3,0,0.0451290008767189,0.0451290008767189,0,0,0,0.3,0.3,0,0,0,0.00451290008767189,0.00451290008767189,0,0
"AWUSD",2023,479,2023-07-03,"EC, VM",0,0,6,8,3,2,8,2,NA,1,1,NA,NA,2,NA,1,0,0,1,12.6,NA,NA,88.2473376393373,10,10,3,NA,NA,0.393842743842752,2.39384274384275,NA,0.0226635732419929,NA,NA,0.0226635732419929,0.0271265151774468,0.181818181818182,NA,NA,0.181818181818182,0.217622067622068,0.00206032484018118,NA,NA,0.00206032484018118,0.00246604683431334
"AZIHK",2018,424,2018-07-23,NA,0,0,1,0,NA,NA,NA,2,NA,11,1,5.9,109.358840271461,3,0,11,0,2,9,26.1,22.5875,0.0120884515943694,109.358840271461,NA,NA,NA,NA,NA,NA,3,3,0.0274326244915648,0,0.0274326244915648,0.0182884163277099,0.0274326244915648,0.272727272727273,0,0.272727272727273,2,0.272727272727273,0.00249387495377862,0,0.00249387495377862,0.0182884163277099,0.00249387495377862
"AZIHK",2020,424,2020-07-23,"CR GJB",1,1,4,0,2,0,2,0,"reddish brown stand of trees, possibly due to disease?",11,1,5.3,88.2473376393373,2,4,11,0,0,11,27.1,22.9,0.0173583837664649,88.2473376393373,11,11,2,1,0,0.290747794353651,2,6,0.0226635732419929,0.0453271464839859,0.0679907197259788,0,0.0226635732419929,0.181818181818182,0.363636363636364,0.545454545454545,0,0.181818181818182,0.00206032484018118,0.00412064968036235,0.00618097452054353,0,0.00206032484018118
"AZIHK",2023,424,2023-08-13,"BB, CR",1,1,3,0,0,0,3,2,NA,11,1,5.3,88.2473376393373,4,2,11,0,1,10,27.2,23.5444444444444,0.0182995016019936,88.2473376393373,11,11,3,1,0,0.433227018227027,4,6,0.0453271464839859,0.0226635732419929,0.0679907197259788,0.0226635732419929,0.0453271464839859,0.363636363636364,0.181818181818182,0.545454545454545,2,0.363636363636364,0.00412064968036235,0.00206032484018118,0.00618097452054353,0.0226635732419929,0.00412064968036235
"AZLSF",2018,347,2018-07-18,NA,0,0,3,0,NA,NA,NA,1,NA,9,1,1.9,11.3411494794592,1,1,9,0,1,8,25.45,16.05625,0.0660615650969529,11.3411494794592,NA,NA,NA,NA,NA,NA,1,2,0.0881744837074212,0.0881744837074212,0.176348967414842,0.0881744837074212,0.0881744837074212,0.111111111111111,0.111111111111111,0.222222222222222,1,0.111111111111111,0.00979716485638014,0.00979716485638014,0.0195943297127603,0.0881744837074212,0.00979716485638014
"AZLSF",2020,347,2020-07-31,"Ben + Gavin",0,0,3,2,0,0,5,0,"na",9,1,2.1,13.854423602331,1,1,9,0,0,9,25.5,16.175,0.0546575963718821,13.854423602331,9,9,2,1,0,0.237884559016624,1,2,0.0721791125133312,0.0721791125133312,0.144358225026662,0,0.0721791125133312,0.111111111111111,0.111111111111111,0.222222222222222,0,0.111111111111111,0.00801990139037013,0.00801990139037013,0.0160398027807403,0,0.00801990139037013
"AZLSF",2023,347,2023-07-28,"HL, VM",0,0,1,2,1,0,4,2,NA,1,1,NA,NA,2,NA,1,0,0,1,27,NA,NA,11.3411494794592,9,9,3,NA,NA,0.354458469458476,2.35445846945848,NA,0.176348967414842,NA,NA,0.176348967414842,0.207603159955066,0.181818181818182,NA,NA,0.181818181818182,0.21404167904168,0.0160317243104402,NA,NA,0.0160317243104402,0.0188730145413697
"BCNTS01",2018,501,2018-08-08,NA,0,1,13,4,NA,NA,NA,0,"Brush Creek near to stream",11,1,3.3,34.2119439975928,0,1,11,0,0,11,25.4,11.9272727272727,0.0213419651056015,34.2119439975928,NA,NA,NA,NA,NA,NA,0,1,0,0.0292295579599441,0.0292295579599441,0,0,0,0.0909090909090909,0.0909090909090909,0,0,0,0.0026572325418131,0.0026572325418131,0,0
"BCNTS01",2020,501,2020-07-14,"Gavin, Courtenay, Aiden",0,1,34,5,28,1,0,1,"Brush creek near stream",11,1,3.2,32.1699087727595,1,0,11,0,1,10,25.5,12.64,0.0228044921875,32.1699087727595,11,11,2,1,0,0.290747794353651,1,1,0.0310849498226358,0,0.0310849498226358,0.0310849498226358,0.0310849498226358,0.0909090909090909,0,0.0909090909090909,1,0.0909090909090909,0.00282590452933053,0,0.00282590452933053,0.0310849498226358,0.00282590452933053
